meet  session,2,570,2587100,3473628,6.34E-14
cornyn  follow,1,198,2587472,3473629,6.32E-14
hear  entitl,1,196,2587474,3473629,6.32E-14
senat  wednesday,1,180,2587490,3473629,6.31E-14
purpos  debat,1,169,2587501,3473629,6.31E-14
senat  permit,1,160,2587510,3473629,6.31E-14
speak  therein,1,159,2587511,3473629,6.31E-14
senat  tuesday,1,155,2587515,3473629,6.30E-14
follow  prayer,1,155,2587515,3473629,6.30E-14
therein  10,1,150,2587520,3473629,6.30E-14
wilson  south,1,149,2587521,3473629,6.30E-14
complet  busi,1,146,2587524,3473629,6.30E-14
reserv  day,1,145,2587525,3473629,6.30E-14
senat  thursday,1,145,2587525,3473629,6.30E-14
stand  adjourn,1,144,2587526,3473629,6.30E-14
move  proce,1,139,2587531,3473629,6.30E-14
adjourn  previous,1,139,2587531,3473629,6.30E-14
democrat  friend,1,138,2587532,3473629,6.30E-14
consent  stand,1,138,2587532,3473629,6.30E-14
preambl  agre,1,130,2587540,3473629,6.29E-14
agre  preambl,1,128,2587542,3473629,6.29E-14
rule  xxvi,1,126,2587544,3473629,6.29E-14
proce  consider,1,123,2587547,3473629,6.29E-14
2017  10,2,243,2587427,3473628,6.29E-14
xxvi  paragraph,1,118,2587552,3473629,6.28E-14
bishop  utah,1,114,2587556,3473629,6.28E-14
materi  bill,2,213,2587457,3473628,6.27E-14
submit  earlier,1,106,2587564,3473629,6.27E-14
930  am,1,105,2587565,3473629,6.27E-14
bradi  texa,2,208,2587462,3473628,6.27E-14
poe  texa,2,206,2587464,3473628,6.27E-14
senat  resum,1,100,2587570,3473629,6.27E-14
debat  confirm,1,96,2587574,3473629,6.26E-14
johnson  louisiana,1,92,2587578,3473629,6.26E-14
yield  purpos,1,88,2587582,3473629,6.25E-14
consider  follow,1,87,2587583,3473629,6.25E-14
mccarthi  thank,1,86,2587584,3473629,6.25E-14
relat  nomin,1,83,2587587,3473629,6.24E-14
bless  troop,1,83,2587587,3473629,6.24E-14
carter  texa,1,82,2587588,3473629,6.24E-14
debat  leav,1,81,2587589,3473629,6.24E-14
forget  septemb,1,81,2587589,3473629,6.24E-14
period  morn,2,161,2587509,3473628,6.24E-14
follow  leader,2,161,2587509,3473628,6.24E-14
time  roe,1,77,2587593,3473629,6.23E-14
calvert  chairman,1,76,2587594,3473629,6.23E-14
comstock  rise,1,74,2587596,3473629,6.23E-14
buck  yield,1,72,2587598,3473629,6.22E-14
thompson  pennsylvania,4,284,2587386,3473626,6.22E-14
forti  40,1,71,2587599,3473629,6.22E-14
doubl  child,1,70,2587600,3473629,6.22E-14
black  chairman,1,69,2587601,3473629,6.22E-14
final  follow,1,68,2587602,3473629,6.21E-14
pm  monday,1,66,2587604,3473629,6.21E-14
hatch  presid,2,130,2587540,3473628,6.21E-14
smith  jersey,1,65,2587605,3473629,6.21E-14
current  consider,1,65,2587605,3473629,6.21E-14
des  moin,2,129,2587541,3473628,6.21E-14
nomin  execut,1,64,2587606,3473629,6.20E-14
consider  res,2,124,2587546,3473628,6.20E-14
consid  calendar,1,61,2587609,3473629,6.20E-14
obamacar  tax,1,60,2587610,3473629,6.19E-14
approv  major,2,115,2587555,3473628,6.19E-14
consider  calendar,2,110,2587560,3473628,6.18E-14
paus  recogn,1,55,2587615,3473629,6.18E-14
215  pm,1,54,2587616,3473629,6.17E-14
date  time,3,157,2587513,3473627,6.17E-14
affair  author,2,102,2587568,3473628,6.16E-14
consent  hous,1,51,2587619,3473629,6.16E-14
earn  prestigi,1,51,2587619,3473629,6.16E-14
obamacar  premium,1,51,2587619,3473629,6.16E-14
resolut  agre,3,152,2587518,3473627,6.16E-14
consid  agre,1,50,2587620,3473629,6.16E-14
senat  complet,3,148,2587522,3473627,6.15E-14
mandatori  quorum,1,49,2587621,3473629,6.15E-14
commun  notabl,1,49,2587621,3473629,6.15E-14
curbelo  florida,1,49,2587621,3473629,6.15E-14
motion  reconsid,10,488,2587182,3473620,6.15E-14
effort  forth,1,48,2587622,3473629,6.15E-14
commend  hard,1,48,2587622,3473629,6.15E-14
vote  relat,1,48,2587622,3473629,6.15E-14
laid  tabl,10,475,2587195,3473620,6.15E-14
consid  laid,10,475,2587195,3473620,6.15E-14
reconsid  consid,10,471,2587199,3473620,6.15E-14
mcclintock  chairman,1,47,2587623,3473629,6.14E-14
congratul  moment,1,46,2587624,3473629,6.14E-14
accomplish  boy,1,45,2587625,3473629,6.13E-14
memori  armi,1,45,2587625,3473629,6.13E-14
septemb  11th,2,89,2587581,3473628,6.13E-14
agre  motion,4,177,2587493,3473626,6.13E-14
senat  recess,1,44,2587626,3473629,6.13E-14
tennesse  yield,2,87,2587583,3473628,6.13E-14
senat  period,3,130,2587540,3473627,6.12E-14
airr  act,1,43,2587627,3473629,6.12E-14
austin  scott,1,43,2587627,3473629,6.12E-14
exchang  letter,1,42,2587628,3473629,6.12E-14
anniversari  commit,1,42,2587628,3473629,6.12E-14
dirksen  senat,3,125,2587545,3473627,6.12E-14
move  previ,2,82,2587588,3473628,6.11E-14
am  thursday,1,41,2587629,3473629,6.11E-14
wednesday  october,1,41,2587629,3473629,6.11E-14
quest  resolut,2,81,2587589,3473628,6.11E-14
home  championship,1,40,2587630,3473629,6.10E-14
king  iowa,3,118,2587552,3473627,6.10E-14
util  talent,1,39,2587631,3473629,6.10E-14
obamacar  individu,1,39,2587631,3473629,6.10E-14
servic  author,2,77,2587593,3473628,6.09E-14
day  morn,3,115,2587555,3473627,6.09E-14
today  session,6,229,2587441,3473624,6.09E-14
congress  pride,2,76,2587594,3473628,6.09E-14
am  tuesday,1,38,2587632,3473629,6.09E-14
clerk  suprem,1,38,2587632,3473629,6.09E-14
1230  pm,1,38,2587632,3473629,6.09E-14
mccain  presid,3,113,2587557,3473627,6.09E-14
profession  award,1,37,2587633,3473629,6.08E-14
roe  tennesse,8,295,2587375,3473622,6.08E-14
paincap  unborn,2,72,2587598,3473628,6.08E-14
