meet  session,570,2,2587100,3473628,6.34E-14
cornyn  follow,198,1,2587472,3473629,6.32E-14
hear  entitl,196,1,2587474,3473629,6.32E-14
senat  wednesday,180,1,2587490,3473629,6.31E-14
purpos  debat,169,1,2587501,3473629,6.31E-14
senat  permit,160,1,2587510,3473629,6.31E-14
speak  therein,159,1,2587511,3473629,6.31E-14
senat  tuesday,155,1,2587515,3473629,6.30E-14
follow  prayer,155,1,2587515,3473629,6.30E-14
therein  10,150,1,2587520,3473629,6.30E-14
wilson  south,149,1,2587521,3473629,6.30E-14
complet  busi,146,1,2587524,3473629,6.30E-14
reserv  day,145,1,2587525,3473629,6.30E-14
senat  thursday,145,1,2587525,3473629,6.30E-14
stand  adjourn,144,1,2587526,3473629,6.30E-14
move  proce,139,1,2587531,3473629,6.30E-14
adjourn  previous,139,1,2587531,3473629,6.30E-14
consent  stand,138,1,2587532,3473629,6.30E-14
democrat  friend,138,1,2587532,3473629,6.30E-14
preambl  agre,130,1,2587540,3473629,6.29E-14
agre  preambl,128,1,2587542,3473629,6.29E-14
rule  xxvi,126,1,2587544,3473629,6.29E-14
proce  consider,123,1,2587547,3473629,6.29E-14
2017  10,243,2,2587427,3473628,6.29E-14
xxvi  paragraph,118,1,2587552,3473629,6.28E-14
bishop  utah,114,1,2587556,3473629,6.28E-14
materi  bill,213,2,2587457,3473628,6.27E-14
submit  earlier,106,1,2587564,3473629,6.27E-14
930  am,105,1,2587565,3473629,6.27E-14
bradi  texa,208,2,2587462,3473628,6.27E-14
poe  texa,206,2,2587464,3473628,6.27E-14
senat  resum,100,1,2587570,3473629,6.27E-14
debat  confirm,96,1,2587574,3473629,6.26E-14
johnson  louisiana,92,1,2587578,3473629,6.26E-14
yield  purpos,88,1,2587582,3473629,6.25E-14
consider  follow,87,1,2587583,3473629,6.25E-14
mccarthi  thank,86,1,2587584,3473629,6.25E-14
relat  nomin,83,1,2587587,3473629,6.24E-14
bless  troop,83,1,2587587,3473629,6.24E-14
carter  texa,82,1,2587588,3473629,6.24E-14
debat  leav,81,1,2587589,3473629,6.24E-14
forget  septemb,81,1,2587589,3473629,6.24E-14
period  morn,161,2,2587509,3473628,6.24E-14
follow  leader,161,2,2587509,3473628,6.24E-14
time  roe,77,1,2587593,3473629,6.23E-14
calvert  chairman,76,1,2587594,3473629,6.23E-14
comstock  rise,74,1,2587596,3473629,6.23E-14
buck  yield,72,1,2587598,3473629,6.22E-14
thompson  pennsylvania,284,4,2587386,3473626,6.22E-14
forti  40,71,1,2587599,3473629,6.22E-14
doubl  child,70,1,2587600,3473629,6.22E-14
black  chairman,69,1,2587601,3473629,6.22E-14
final  follow,68,1,2587602,3473629,6.21E-14
pm  monday,66,1,2587604,3473629,6.21E-14
hatch  presid,130,2,2587540,3473628,6.21E-14
current  consider,65,1,2587605,3473629,6.21E-14
smith  jersey,65,1,2587605,3473629,6.21E-14
des  moin,129,2,2587541,3473628,6.21E-14
nomin  execut,64,1,2587606,3473629,6.20E-14
consider  res,124,2,2587546,3473628,6.20E-14
consid  calendar,61,1,2587609,3473629,6.20E-14
obamacar  tax,60,1,2587610,3473629,6.19E-14
approv  major,115,2,2587555,3473628,6.19E-14
consider  calendar,110,2,2587560,3473628,6.18E-14
paus  recogn,55,1,2587615,3473629,6.18E-14
215  pm,54,1,2587616,3473629,6.17E-14
date  time,157,3,2587513,3473627,6.17E-14
affair  author,102,2,2587568,3473628,6.16E-14
consent  hous,51,1,2587619,3473629,6.16E-14
earn  prestigi,51,1,2587619,3473629,6.16E-14
obamacar  premium,51,1,2587619,3473629,6.16E-14
resolut  agre,152,3,2587518,3473627,6.16E-14
consid  agre,50,1,2587620,3473629,6.16E-14
senat  complet,148,3,2587522,3473627,6.15E-14
mandatori  quorum,49,1,2587621,3473629,6.15E-14
commun  notabl,49,1,2587621,3473629,6.15E-14
curbelo  florida,49,1,2587621,3473629,6.15E-14
motion  reconsid,488,10,2587182,3473620,6.15E-14
effort  forth,48,1,2587622,3473629,6.15E-14
vote  relat,48,1,2587622,3473629,6.15E-14
commend  hard,48,1,2587622,3473629,6.15E-14
laid  tabl,475,10,2587195,3473620,6.15E-14
consid  laid,475,10,2587195,3473620,6.15E-14
reconsid  consid,471,10,2587199,3473620,6.15E-14
mcclintock  chairman,47,1,2587623,3473629,6.14E-14
congratul  moment,46,1,2587624,3473629,6.14E-14
accomplish  boy,45,1,2587625,3473629,6.13E-14
memori  armi,45,1,2587625,3473629,6.13E-14
septemb  11th,89,2,2587581,3473628,6.13E-14
agre  motion,177,4,2587493,3473626,6.13E-14
senat  recess,44,1,2587626,3473629,6.13E-14
tennesse  yield,87,2,2587583,3473628,6.13E-14
senat  period,130,3,2587540,3473627,6.12E-14
airr  act,43,1,2587627,3473629,6.12E-14
austin  scott,43,1,2587627,3473629,6.12E-14
exchang  letter,42,1,2587628,3473629,6.12E-14
anniversari  commit,42,1,2587628,3473629,6.12E-14
dirksen  senat,125,3,2587545,3473627,6.12E-14
move  previ,82,2,2587588,3473628,6.11E-14
am  thursday,41,1,2587629,3473629,6.11E-14
wednesday  october,41,1,2587629,3473629,6.11E-14
quest  resolut,81,2,2587589,3473628,6.11E-14
home  championship,40,1,2587630,3473629,6.10E-14
king  iowa,118,3,2587552,3473627,6.10E-14
util  talent,39,1,2587631,3473629,6.10E-14
obamacar  individu,39,1,2587631,3473629,6.10E-14
servic  author,77,2,2587593,3473628,6.09E-14
day  morn,115,3,2587555,3473627,6.09E-14
today  session,229,6,2587441,3473624,6.09E-14
congress  pride,76,2,2587594,3473628,6.09E-14
am  tuesday,38,1,2587632,3473629,6.09E-14
1230  pm,38,1,2587632,3473629,6.09E-14
clerk  suprem,38,1,2587632,3473629,6.09E-14
mccain  presid,113,3,2587557,3473627,6.09E-14
profession  award,37,1,2587633,3473629,6.08E-14
roe  tennesse,295,8,2587375,3473622,6.08E-14
paincap  unborn,72,2,2587598,3473628,6.08E-14
sacrific  defend,72,2,2587598,3473628,6.08E-14
review  provis,36,1,2587634,3473629,6.08E-14
chief  sponsor,36,1,2587634,3473629,6.08E-14
export  control,36,1,2587634,3473629,6.08E-14
dedic  shown,35,1,2587635,3473629,6.07E-14
housesen  confer,35,1,2587635,3473629,6.07E-14
committe  intent,35,1,2587635,3473629,6.07E-14
rebuild  militari,102,3,2587568,3473627,6.06E-14
staff  pleasur,34,1,2587636,3473629,6.06E-14
consent  resolut,134,4,2587536,3473626,6.05E-14
commend  presid,33,1,2587637,3473629,6.05E-14
home  wyom,33,1,2587637,3473629,6.05E-14
thank  busi,33,1,2587637,3473629,6.05E-14
session  period,33,1,2587637,3473629,6.05E-14
opposit  motion,33,1,2587637,3473629,6.05E-14
appreci  respons,33,1,2587637,3473629,6.05E-14
permit  speak,161,5,2587509,3473625,6.04E-14
leader  remark,192,6,2587478,3473624,6.04E-14
illeg  alien,96,3,2587574,3473627,6.04E-14
endeavor  wish,32,1,2587638,3473629,6.04E-14
capito  presid,32,1,2587638,3473629,6.04E-14
armi  depot,32,1,2587638,3473629,6.04E-14
onethird  counti,32,1,2587638,3473629,6.04E-14
conduct  hear,248,8,2587422,3473622,6.03E-14
sent  chairman,31,1,2587639,3473629,6.03E-14
reflect  effort,31,1,2587639,3473629,6.03E-14
propos  sale,31,1,2587639,3473629,6.03E-14
billion  hour,31,1,2587639,3473629,6.03E-14
hous  attent,31,1,2587639,3473629,6.03E-14
acting  solicitor,31,1,2587639,3473629,6.03E-14
gentleman  kansa,31,1,2587639,3473629,6.03E-14
count  postclotur,30,1,2587640,3473629,6.02E-14
medicaid  sustain,30,1,2587640,3473629,6.02E-14
pro  forma,30,1,2587640,3473629,6.02E-14
upton  chairman,30,1,2587640,3473629,6.02E-14
boy  town,30,1,2587640,3473629,6.02E-14
forma  session,30,1,2587640,3473629,6.02E-14
illicit  financ,30,1,2587640,3473629,6.02E-14
receiv  cover,30,1,2587640,3473629,6.02E-14
design  thank,30,1,2587640,3473629,6.02E-14
keep  committe,30,1,2587640,3473629,6.02E-14
pursuant  rule,118,4,2587552,3473626,6.01E-14
meet  9,29,1,2587641,3473629,6.00E-14
sixth  district,29,1,2587641,3473629,6.00E-14
poverti  tax,29,1,2587641,3473629,6.00E-14
tennesse  alexand,29,1,2587641,3473629,6.00E-14
simpler  fairer,29,1,2587641,3473629,6.00E-14
gentlewoman  missouri,29,1,2587641,3473629,6.00E-14
buck  counti,113,4,2587557,3473626,6.00E-14
bad  judg,28,1,2587642,3473629,5.99E-14
louisiana  chairman,28,1,2587642,3473629,5.99E-14
increas  takehom,28,1,2587642,3473629,5.99E-14
divis  ii,28,1,2587642,3473629,5.99E-14
profound  honor,28,1,2587642,3473629,5.99E-14
sergeant  class,55,2,2587615,3473628,5.99E-14
scott  palk,27,1,2587643,3473629,5.98E-14
call  respect,27,1,2587643,3473629,5.98E-14
home  kentucki,27,1,2587643,3473629,5.98E-14
worker  commit,27,1,2587643,3473629,5.98E-14
record  consider,27,1,2587643,3473629,5.98E-14
smith  missouri,27,1,2587643,3473629,5.98E-14
dedic  worker,27,1,2587643,3473629,5.98E-14
liber  media,27,1,2587643,3473629,5.98E-14
scout  project,53,2,2587617,3473628,5.97E-14
follow  committe,105,4,2587565,3473626,5.97E-14
statem  relat,78,3,2587592,3473627,5.96E-14
delawar  counti,52,2,2587618,3473628,5.96E-14
outdat  tax,52,2,2587618,3473628,5.96E-14
world  busi,26,1,2587644,3473629,5.96E-14
crest  retreat,26,1,2587644,3473629,5.96E-14
award  wish,26,1,2587644,3473629,5.96E-14
tennesse  madam,26,1,2587644,3473629,5.96E-14
senat  proce,567,22,2587103,3473608,5.96E-14
committe  armed,128,5,2587542,3473625,5.96E-14
105  percent,51,2,2587619,3473628,5.96E-14
frelinghuysen  chairman,51,2,2587619,3473628,5.96E-14
adopt  measur,50,2,2587620,3473628,5.95E-14
council  bluff,50,2,2587620,3473628,5.95E-14
perri  chairman,25,1,2587645,3473629,5.95E-14
bibl  week,25,1,2587645,3473629,5.95E-14
competit  rest,25,1,2587645,3473629,5.95E-14
georgia  carter,25,1,2587645,3473629,5.95E-14
herrera  beutler,25,1,2587645,3473629,5.95E-14
committeereport  amend,25,1,2587645,3473629,5.95E-14
patientcent  healthcar,25,1,2587645,3473629,5.95E-14
chabot  chairman,25,1,2587645,3473629,5.95E-14
obamacar  system,25,1,2587645,3473629,5.95E-14
ohio  chabot,25,1,2587645,3473629,5.95E-14
star  mother,25,1,2587645,3473629,5.95E-14
affair  discharg,25,1,2587645,3473629,5.95E-14
21st  district,49,2,2587621,3473628,5.94E-14
interven  action,268,11,2587402,3473619,5.94E-14
rule  xxii,73,3,2587597,3473627,5.94E-14
pride  recogn,96,4,2587574,3473626,5.93E-14
merit  badg,72,3,2587598,3473627,5.93E-14
achiev  distinct,48,2,2587622,3473628,5.93E-14
mail  system,24,1,2587646,3473629,5.93E-14
file  frivol,24,1,2587646,3473629,5.93E-14
gosar  chairman,24,1,2587646,3473629,5.93E-14
memori  websit,24,1,2587646,3473629,5.93E-14
nebraska  chairman,24,1,2587646,3473629,5.93E-14
central  texa,24,1,2587646,3473629,5.93E-14
fenc  wall,24,1,2587646,3473629,5.93E-14
record  2000,24,1,2587646,3473629,5.93E-14
debat  2,24,1,2587646,3473629,5.93E-14
leader  40,24,1,2587646,3473629,5.93E-14
peer  commun,47,2,2587623,3473628,5.92E-14
forc  buy,47,2,2587623,3473628,5.92E-14
committe  bank,69,3,2587601,3473627,5.91E-14
famili  peer,46,2,2587624,3473628,5.91E-14
reform  framework,23,1,2587647,3473629,5.91E-14
